Title;Actor;Actress
Beverly Hills Cop;Murphy, Eddie;Eilbacher, Lisa
Blind Man's Bluff;Urich, Robert;Eilbacher, Lisa
La Dolce Vita;Mastroianni, Marcello;Ekberg, Anita
After the Fox;Sellers, Peter;Ekland, Britt
Man with the Golden Gun, The;Moore, Roger;Ekland, Britt
Marbella;Taylor, Rod;Ekland, Britt
Bobo, The;Sellers, Peter;Ekland, Britt
Big Bands, The;Beneke, Tex;Elgart, Les
Killer Image.;Ironside, Michael;Errickson, Krista
Kandyland;Laulette, Charles;Evenson, Kim
Campus Man;Dye, John;Fairchild, Morgan
Jubal;Ford, Glenn;Farr, Felicia
Purple Rose of Cairo, The;Aiello, Danny;Farrow, Mia
Broadway Danny Rose;Allen, Woody;Farrow, Mia
Husbands & Wives;Allen, Woody;Farrow, Mia
Hannah & Her Sisters;Caine, Michael;Farrow, Mia
Hurricane;Robards, Jason;Farrow, Mia
Between Two Women;Nouri, Michael;Fawcett, Farrah
Cannonball Run, The;Reynolds, Burt;Fawcett, Farrah
Doughnuts & Society;Nugent, Eddie;Fazenda, Louise
Holocaust;Bottoms, Joseph;Feldshuh, Tovah
Meridian;Jamieson, Malcolm;Fenn, Sherilyn
Diary of a Hitman;Whitaker, Forest;Fenn, Sherilyn
Gor;Reed, Oliver;Ferratti, Rebecca
Surrender;Caine, Michael;Field, Sally
Places in the Heart;Harris, Ed;Field, Sally
Not Without My Daughter;Molina, Alfred;Field, Sally
Heroes;Winkler, Henry;Field, Sally
Absence of Malice;Newman, Paul;Field, Sally
Norma Rae;Bridges, Beau;Field, Sally
Steel Magnolias;Skerritt, Tom;Field, Sally
Burbs, The;Hanks, Tom;Fisher, Carrie
Empire Strikes Back, The;Hamill, Mark;Fisher, Carrie
Star Wars;Hamill, Mark;Fisher, Carrie
Return of the Jedi;Hamill, Mark;Fisher, Carrie
Hear My Song;Dunbar, Adrian;Fitzgerald, Tara
Slightly Scarlet;Payne, John;Fleming, Rhonda
Gunfight at the OK Corral;Lancaster, Burt;Fleming, Rhonda
Range Feud, The;Wayne, John;Fleming, Susan
Bloodsucking Pharaohs in Pittsburgh;Dengel, Jake;Fletcher, Suzanne
Roma;Gonzales, Peter;Florence, Fiona
China Syndrome, The;Douglas, Michael;Fonda, Jane
